Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
"Congressional District 8 (116th Congress), Missouri!!Percent!!Estimate",(X),,18.50%,22.80%,34.10%,24.60%,,49.40%,50.60%,,93.10%,N,0.60%,N,N,N,N,1.30%,92.00%,,4.00%,10.30%,39.50%,22.10%,7.90%,10.10%,6.20%,85.70%,16.20%,,(X),16.10%,83.90%,,(X)
"Congressional District 8 (116th Congress), Missouri!!Percent!!Margin of Error",(X),,±0.4,±0.4,±0.5,±0.4,,±0.3,±0.3,,±0.3,N,±0.2,N,N,N,N,±0.2,±0.3,,±0.4,±0.8,±1.0,±1.0,±0.7,±0.6,±0.6,±0.8,±0.9,,(X),±1.1,±1.1,,(X)
"Congressional District (at Large) (116th Congress), Montana!!Total!!Estimate","831,760",,"164,858","194,179","266,138","206,585",,"415,318","416,442",,"751,393",N,"5,130",N,N,N,N,"26,286","734,206",,"13,111","41,911","244,930","203,813","72,970","178,221","76,804","776,738","255,025",,"812,042","96,565","715,477",,"57,299"
"Congressional District (at Large) (116th Congress), Montana!!Total!!Margin of Error","±2,687",,"±2,291","±2,332","±2,400","±1,648",,"±2,413","±2,020",,"±2,616",N,"±1,055",N,N,N,N,"±1,809","±1,521",,"±1,769","±3,609","±8,413","±6,799","±3,707","±5,609","±4,469","±4,251","±7,263",,"±2,677","±4,966","±5,268",,"±1,250"
"Congressional District (at Large) (116th Congress), Montana!!Percent!!Estimate",(X),,19.80%,23.30%,32.00%,24.80%,,49.90%,50.10%,,90.30%,N,0.60%,N,N,N,N,3.20%,88.30%,,1.60%,5.00%,29.40%,24.50%,8.80%,21.40%,9.20%,93.40%,30.70%,,(X),11.90%,88.10%,,(X)
"Congressional District (at Large) (116th Congress), Montana!!Percent!!Margin of Error",(X),,±0.2,±0.3,±0.3,±0.2,,±0.2,±0.2,,±0.3,N,±0.1,N,N,N,N,±0.2,±0.2,,±0.2,±0.4,±1.0,±0.8,±0.4,±0.7,±0.5,±0.5,±0.9,,(X),±0.6,±0.6,,(X)
"Congressional District 1 (116th Congress), Nebraska!!Total!!Estimate","475,365",,"114,467","113,255","147,308","100,335",,"235,513","239,852",,"433,715","12,359","8,902",N,N,"6,199",N,"29,073","413,103",,"9,481","20,763","118,247","123,577","58,099","98,765","46,433","445,121","145,198",,"458,456","40,982","417,474",,"64,986"
"Congressional District 1 (116th Congress), Nebraska!!Total!!Margin of Error","±3,849",,"±2,526","±2,698","±2,704","±1,842",,"±2,708","±2,140",,"±3,496","±1,384","±1,371",N,N,"±1,611",N,"±1,717","±3,139",,"±1,530","±2,464","±5,366","±4,327","±3,346","±4,426","±3,325","±4,625","±5,281",,"±4,438","±3,948","±6,058",,"±1,544"
"Congressional District 1 (116th Congress), Nebraska!!Percent!!Estimate",(X),,24.10%,23.80%,31.00%,21.10%,,49.50%,50.50%,,91.20%,2.60%,1.90%,N,N,1.30%,N,6.10%,86.90%,,2.00%,4.40%,24.90%,26.00%,12.20%,20.80%,9.80%,93.60%,30.50%,,(X),8.90%,91.10%,,(X)
"Congressional District 1 (116th Congress), Nebraska!!Percent!!Margin of Error",(X),,±0.5,±0.5,±0.5,±0.4,,±0.3,±0.3,,±0.5,±0.3,±0.3,N,N,±0.3,N,±0.3,±0.4,,±0.3,±0.5,±1.1,±0.9,±0.7,±0.9,±0.7,±0.6,±1.1,,(X),±0.9,±0.9,,(X)
"Congressional District 2 (116th Congress), Nebraska!!Total!!Estimate","472,694",,"102,935","131,193","149,293","89,273",,"229,615","243,079",,"401,731","40,421","11,719",N,N,"5,040",N,"30,432","378,947",,"8,333","16,859","107,683","112,624","36,851","126,393","63,951","447,502","190,344",,"462,130","38,181","423,949",,"73,370"
"Congressional District 2 (116th Congress), Nebraska!!Total!!Margin of Error","±4,090",,"±2,141","±2,660","±2,493","±1,488",,"±2,769","±2,663",,"±3,299","±1,942","±1,550",N,N,"±1,251",N,"±2,358","±2,416",,"±1,684","±1,882","±4,178","±4,410","±2,692","±5,024","±3,748","±4,463","±5,969",,"±4,651","±3,290","±5,582",,"±2,463"
"Congressional District 2 (116th Congress), Nebraska!!Percent!!Estimate",(X),,21.80%,27.80%,31.60%,18.90%,,48.60%,51.40%,,85.00%,8.60%,2.50%,N,N,1.10%,N,6.40%,80.20%,,1.80%,3.60%,22.80%,23.80%,7.80%,26.70%,13.50%,94.70%,40.30%,,(X),8.30%,91.70%,,(X)
"Congressional District 2 (116th Congress), Nebraska!!Percent!!Margin of Error",(X),,±0.4,±0.5,±0.4,±0.3,,±0.4,±0.4,,±0.6,±0.4,±0.3,N,N,±0.3,N,±0.5,±0.6,,±0.4,±0.4,±0.9,±0.9,±0.6,±1.0,±0.8,±0.5,±1.2,,(X),±0.7,±0.7,,(X)
"Congressional District 3 (116th Congress), Nebraska!!Total!!Estimate","440,891",,"81,486","95,861","143,316","120,228",,"218,411","222,480",,"412,277","4,361","2,250",N,N,"12,039",N,"33,126","392,866",,"11,731","24,000","138,312","111,967","56,017","69,030","29,834","405,160","98,864",,"425,451","45,050","380,401",,"56,038"
"Congressional District 3 (116th Congress), Nebraska!!Total!!Margin of Error","±3,021",,"±2,417","±2,359","±2,588","±1,591",,"±2,425","±2,007",,"±2,748",±916,±692,N,N,"±1,765",N,"±2,257","±2,034",,"±1,997","±2,007","±4,316","±3,777","±3,096","±3,075","±2,077","±3,427","±3,679",,"±2,879","±4,091","±4,824",,"±1,220"
"Congressional District 3 (116th Congress), Nebraska!!Percent!!Estimate",(X),,18.50%,21.70%,32.50%,27.30%,,49.50%,50.50%,,93.50%,1.00%,0.50%,N,N,2.70%,N,7.50%,89.10%,,2.70%,5.40%,31.40%,25.40%,12.70%,15.70%,6.80%,91.90%,22.40%,,(X),10.60%,89.40%,,(X)
"Congressional District 3 (116th Congress), Nebraska!!Percent!!Margin of Error",(X),,±0.5,±0.5,±0.5,±0.4,,±0.4,±0.4,,±0.5,±0.2,±0.2,N,N,±0.4,N,±0.5,±0.5,,±0.4,±0.5,±0.9,±0.9,±0.7,±0.7,±0.5,±0.6,±0.8,,(X),±1.0,±1.0,,(X)
"Congressional District 1 (116th Congress), Nevada!!Total!!Estimate","423,658",,"98,841","99,642","132,901","92,274",,"214,462","209,196",,"249,142","54,823","39,604","4,770",N,"53,064","18,257","135,596","172,695",,"21,407","49,468","143,224","105,820","33,446","48,528","21,765","352,783","70,293",,"416,811","68,473","348,338",,"44,472"
"Congressional District 1 (116th Congress), Nevada!!Total!!Margin of Error","±10,628",,"±6,392","±5,404","±6,012","±3,868",,"±7,807","±6,116",,"±7,898","±5,155","±4,148","±1,261",N,"±6,157","±2,672","±6,907","±6,806",,"±2,513","±4,149","±7,728","±5,592","±3,581","±4,136","±2,331","±10,842","±4,768",,"±10,388","±6,266","±10,942",,"±2,380"
"Congressional District 1 (116th Congress), Nevada!!Percent!!Estimate",(X),,23.30%,23.50%,31.40%,21.80%,,50.60%,49.40%,,58.80%,12.90%,9.30%,1.10%,N,12.50%,4.30%,32.00%,40.80%,,5.10%,11.70%,33.80%,25.00%,7.90%,11.50%,5.10%,83.30%,16.60%,,(X),16.40%,83.60%,,(X)
"Congressional District 1 (116th Congress), Nevada!!Percent!!Margin of Error",(X),,±1.3,±1.2,±1.1,±0.9,,±1.1,±1.1,,±1.6,±1.1,±1.0,±0.3,N,±1.4,±0.6,±1.4,±1.4,,±0.6,±1.0,±1.6,±1.2,±0.8,±0.9,±0.5,±1.1,±1.0,,(X),±1.5,±1.5,,(X)
"Congressional District 2 (116th Congress), Nevada!!Total!!Estimate","536,143",,"109,196","122,549","176,825","127,573",,"270,771","265,372",,"446,339","11,224","17,671",N,N,"32,198","14,524","86,675","396,637",,"12,468","34,863","143,442","152,375","53,980","88,921","50,094","488,812","139,015",,"526,859","53,952","472,907",,"70,946"
"Congressional District 2 (116th Congress), Nevada!!Total!!Margin of Error","±4,689",,"±2,139","±3,038","±3,206","±1,760",,"±3,544","±2,409",,"±5,679","±1,368","±1,694",N,N,"±3,900","±2,068","±3,368","±2,591",,"±2,066","±3,222","±5,984","±5,619","±3,526","±4,569","±3,584","±4,753","±5,874",,"±4,886","±5,068","±6,279",,"±1,723"
"Congressional District 2 (116th Congress), Nevada!!Percent!!Estimate",(X),,20.40%,22.90%,33.00%,23.80%,,50.50%,49.50%,,83.20%,2.10%,3.30%,N,N,6.00%,2.70%,16.20%,74.00%,,2.30%,6.50%,26.80%,28.40%,10.10%,16.60%,9.30%,91.20%,25.90%,,(X),10.20%,89.80%,,(X)
"Congressional District 2 (116th Congress), Nevada!!Percent!!Margin of Error",(X),,±0.4,±0.5,±0.5,±0.3,,±0.4,±0.4,,±0.8,±0.3,±0.3,N,N,±0.7,±0.4,±0.5,±0.5,,±0.4,±0.6,±1.1,±1.0,±0.7,±0.9,±0.7,±0.8,±1.1,,(X),±0.9,±0.9,,(X)
"Congressional District 3 (116th Congress), Nevada!!Total!!Estimate","630,813",,"115,660","171,193","207,686","136,274",,"309,739","321,074",,"431,257","54,413","81,665",N,N,"28,634","26,570","88,359","376,461",,"7,069","27,224","166,392","166,131","57,944","134,255","71,798","596,520","206,053",,"628,919","46,232","582,687",,"79,651"
"Congressional District 3 (116th Congress), Nevada!!Total!!Margin of Error","±10,939",,"±5,570","±6,490","±6,207","±4,542",,"±7,259","±6,543",,"±9,941","±5,486","±4,900",N,N,"±4,930","±3,863","±7,488","±8,562",,"±1,705","±3,237","±8,096","±8,296","±4,518","±5,381","±4,138","±10,986","±6,718",,"±11,113","±5,109","±12,040",,"±1,905"
"Congressional District 3 (116th Congress), Nevada!!Percent!!Estimate",(X),,18.30%,27.10%,32.90%,21.60%,,49.10%,50.90%,,68.40%,8.60%,12.90%,N,N,4.50%,4.20%,14.00%,59.70%,,1.10%,4.30%,26.40%,26.30%,9.20%,21.30%,11.40%,94.60%,32.70%,,(X),7.40%,92.60%,,(X)
"Congressional District 3 (116th Congress), Nevada!!Percent!!Margin of Error",(X),,±0.8,±0.9,±0.8,±0.7,,±0.7,±0.7,,±1.2,±0.8,±0.8,N,N,±0.8,±0.6,±1.1,±1.1,,±0.3,±0.5,±1.1,±1.2,±0.7,±0.9,±0.6,±0.6,±1.1,,(X),±0.8,±0.8,,(X)
"Congressional District 4 (116th Congress), Nevada!!Total!!Estimate","521,318",,"107,942","130,578","165,656","117,142",,"260,551","260,767",,"345,428","89,005","28,369",N,N,"27,250","19,640","117,513","265,103",,"15,434","42,359","169,945","144,334","44,186","69,493","35,567","463,525","105,060",,"510,278","50,575","459,703",,"63,355"
"Congressional District 4 (116th Congress), Nevada!!Total!!Margin of Error","±10,905",,"±6,058","±5,628","±6,249","±4,344",,"±7,428","±5,987",,"±10,154","±5,429","±3,824",N,N,"±4,582","±3,335","±6,996","±7,650",,"±2,527","±4,088","±7,786","±6,830","±3,363","±4,521","±2,910","±9,858","±5,184",,"±10,905","±4,461","±10,766",,"±2,167"
"Congressional District 4 (116th Congress), Nevada!!Percent!!Estimate",(X),,20.70%,25.00%,31.80%,22.50%,,50.00%,50.00%,,66.30%,17.10%,5.40%,N,N,5.20%,3.80%,22.50%,50.90%,,3.00%,8.10%,32.60%,27.70%,8.50%,13.30%,6.80%,88.90%,20.20%,,(X),9.90%,90.10%,,(X)
"Congressional District 4 (116th Congress), Nevada!!Percent!!Margin of Error",(X),,±1.0,±1.0,±1.0,±0.8,,±0.8,±0.8,,±1.4,±1.0,±0.7,N,N,±0.9,±0.6,±1.2,±1.2,,±0.5,±0.7,±1.3,±1.2,±0.6,±0.9,±0.5,±0.8,±1.0,,(X),±0.8,±0.8,,(X)
"Congressional District 1 (116th Congress), New Hampshire!!Total!!Estimate","540,722",,"104,359","117,138","195,221","124,004",,"262,255","278,467",,"513,710","6,613","9,238",N,N,"3,362",N,"14,155","503,746",,"7,268","27,717","152,951","111,355","50,798","121,163","69,470","505,737","190,633",,"523,926","38,351","485,575",,"80,356"
"Congressional District 1 (116th Congress), New Hampshire!!Total!!Margin of Error","±5,537",,"±3,388","±3,437","±4,073","±2,978",,"±3,832","±3,575",,"±5,478","±1,426","±1,601",N,N,"±1,652",N,"±2,001","±5,956",,"±1,379","±3,045","±6,869","±5,863","±3,825","±4,293","±4,259","±6,569","±5,477",,"±5,713","±3,476","±6,239",,"±2,581"
"Congressional District 1 (116th Congress), New Hampshire!!Percent!!Estimate",(X),,19.30%,21.70%,36.10%,22.90%,,48.50%,51.50%,,95.00%,1.20%,1.70%,N,N,0.60%,N,2.60%,93.20%,,1.30%,5.10%,28.30%,20.60%,9.40%,22.40%,12.80%,93.50%,35.30%,,(X),7.30%,92.70%,,(X)
"Congressional District 1 (116th Congress), New Hampshire!!Percent!!Margin of Error",(X),,±0.5,±0.6,±0.7,±0.5,,±0.5,±0.5,,±0.5,±0.3,±0.3,N,N,±0.3,N,±0.4,±0.5,,±0.3,±0.6,±1.2,±1.0,±0.7,±0.8,±0.8,±0.6,±1.0,,(X),±0.7,±0.7,,(X)
"Congressional District 2 (116th Congress), New Hampshire!!Total!!Estimate","529,493",,"99,313","112,524","192,262","125,394",,"263,028","266,465",,"502,210","6,689","8,412",N,N,"2,161","8,895","15,521","490,394",,"8,661","30,001","155,022","106,073","51,557","110,341","67,838","490,831","178,179",,"510,693","35,582","475,111",,"76,500"
"Congressional District 2 (116th Congress), New Hampshire!!Total!!Margin of Error","±5,929",,"±3,328","±3,483","±4,304","±3,015",,"±4,107","±3,550",,"±5,555","±1,144","±1,599",N,N,"±1,001","±1,457","±2,338","±5,899",,"±1,646","±3,089","±6,465","±4,772","±4,139","±5,176","±4,267","±7,087","±6,714",,"±6,074","±4,097","±7,417",,"±2,213"
"Congressional District 2 (116th Congress), New Hampshire!!Percent!!Estimate",(X),,18.80%,21.30%,36.30%,23.70%,,49.70%,50.30%,,94.80%,1.30%,1.60%,N,N,0.40%,1.70%,2.90%,92.60%,,1.60%,5.70%,29.30%,20.00%,9.70%,20.80%,12.80%,92.70%,33.70%,,(X),7.00%,93.00%,,(X)
"Congressional District 2 (116th Congress), New Hampshire!!Percent!!Margin of Error",(X),,±0.6,±0.6,±0.7,±0.5,,±0.5,±0.5,,±0.4,±0.2,±0.3,N,N,±0.2,±0.3,±0.4,±0.6,,±0.3,±0.6,±1.2,±0.9,±0.8,±0.9,±0.8,±0.7,±1.2,,(X),±0.8,±0.8,,(X)
"Congressional District 1 (116th Congress), New Jersey!!Total!!Estimate","539,844",,"105,368","131,773","186,510","116,193",,"255,478","284,366",,"390,906","90,637","22,097",N,N,"24,159","11,053","54,253","365,242",,"14,097","30,813","168,145","112,295","43,138","113,715","57,641","494,934","171,356",,"531,029","44,120","486,909",,"75,479"
"Congressional District 1 (116th Congress), New Jersey!!Total!!Margin of Error","±6,377",,"±3,459","±3,581","±2,569","±2,400",,"±3,650","±3,826",,"±5,718","±4,628","±1,779",N,N,"±3,843","±2,644","±3,344","±4,329",,"±2,270","±2,930","±5,670","±6,262","±3,386","±5,108","±3,292","±6,508","±6,173",,"±6,127","±4,830","±6,678",,"±2,454"
"Congressional District 1 (116th Congress), New Jersey!!Percent!!Estimate",(X),,19.50%,24.40%,34.50%,21.50%,,47.30%,52.70%,,72.40%,16.80%,4.10%,N,N,4.50%,2.00%,10.00%,67.70%,,2.60%,5.70%,31.10%,20.80%,8.00%,21.10%,10.70%,91.70%,31.70%,,(X),8.30%,91.70%,,(X)
"Congressional District 1 (116th Congress), New Jersey!!Percent!!Margin of Error",(X),,±0.5,±0.5,±0.5,±0.4,,±0.4,±0.4,,±0.8,±0.8,±0.3,N,N,±0.7,±0.5,±0.6,±0.7,,±0.4,±0.5,±1.0,±1.1,±0.6,±1.0,±0.6,±0.6,±1.2,,(X),±0.9,±0.9,,(X)
"Congressional District 2 (116th Congress), New Jersey!!Total!!Estimate","528,293",,"93,290","109,257","188,354","137,392",,"255,315","272,978",,"413,250","65,781","16,487",N,N,"19,282","10,897","59,218","378,777",,"14,533","37,094","182,958","110,637","41,632","92,364","49,075","476,666","141,439",,"510,820","45,587","465,233",,"70,094"
"Congressional District 2 (116th Congress), New Jersey!!Total!!Margin of Error","±6,503",,"±3,183","±3,455","±4,283","±2,849",,"±3,999","±4,009",,"±6,459","±4,072","±1,548",N,N,"±3,287","±2,737","±3,221","±4,755",,"±2,028","±3,839","±6,178","±5,441","±3,612","±5,045","±3,227","±6,997","±5,530",,"±6,625","±4,685","±7,568",,"±2,385"
"Congressional District 2 (116th Congress), New Jersey!!Percent!!Estimate",(X),,17.70%,20.70%,35.70%,26.00%,,48.30%,51.70%,,78.20%,12.50%,3.10%,N,N,3.60%,2.10%,11.20%,71.70%,,2.80%,7.00%,34.60%,20.90%,7.90%,17.50%,9.30%,90.20%,26.80%,,(X),8.90%,91.10%,,(X)
"Congressional District 2 (116th Congress), New Jersey!!Percent!!Margin of Error",(X),,±0.5,±0.6,±0.6,±0.6,,±0.4,±0.4,,±0.8,±0.7,±0.3,N,N,±0.6,±0.5,±0.5,±0.7,,±0.4,±0.7,±1.1,±1.0,±0.7,±0.9,±0.6,±0.8,±1.0,,(X),±0.9,±0.9,,(X)
"Congressional District 3 (116th Congress), New Jersey!!Total!!Estimate","568,535",,"99,226","120,684","201,270","147,355",,"271,939","296,596",,"465,992","64,559","17,211",N,N,"6,784","12,838","39,769","437,410",,"8,921","25,120","178,875","112,731","47,218","130,084","65,586","534,494","195,670",,"556,907","28,790","528,117",,"86,247"
"Congressional District 3 (116th Congress), New Jersey!!Total!!Margin of Error","±5,608",,"±3,397","±3,492","±2,973","±3,494",,"±3,567","±3,644",,"±6,092","±3,434","±1,762",N,N,"±1,636","±2,434","±2,948","±5,718",,"±1,780","±2,492","±6,925","±5,706","±3,467","±5,868","±4,144","±5,808","±6,805",,"±5,797","±3,635","±6,454",,"±1,865"
"Congressional District 3 (116th Congress), New Jersey!!Percent!!Estimate",(X),,17.50%,21.20%,35.40%,25.90%,,47.80%,52.20%,,82.00%,11.40%,3.00%,N,N,1.20%,2.30%,7.00%,76.90%,,1.60%,4.40%,31.50%,19.80%,8.30%,22.90%,11.50%,94.00%,34.40%,,(X),5.20%,94.80%,,(X)
"Congressional District 3 (116th Congress), New Jersey!!Percent!!Margin of Error",(X),,±0.5,±0.6,±0.5,±0.6,,±0.4,±0.4,,±0.6,±0.6,±0.3,N,N,±0.3,±0.4,±0.5,±0.6,,±0.3,±0.4,±1.1,±1.0,±0.6,±1.0,±0.7,±0.5,±1.2,,(X),±0.6,±0.6,,(X)
"Congressional District 4 (116th Congress), New Jersey!!Total!!Estimate","536,357",,"92,779","109,791","193,099","140,688",,"260,121","276,236",,"472,353","31,953","20,332",N,N,"6,418","4,803","41,174","439,966",,"7,804","19,625","138,107","99,277","41,260","144,636","85,648","508,928","230,284",,"531,077","33,081","497,996",,"93,632"
"Congressional District 4 (116th Congress), New Jersey!!Total!!Margin of Error","±7,494",,"±5,437","±3,757","±5,884","±4,700",,"±4,761","±4,861",,"±7,700","±3,706","±2,566",N,N,"±2,179","±1,436","±4,414","±7,277",,"±1,762","±2,371","±6,282","±5,287","±3,894","±5,076","±5,227","±7,236","±7,145",,"±7,702","±3,265","±7,445",,"±4,451"
"Congressional District 4 (116th Congress), New Jersey!!Percent!!Estimate",(X),,17.30%,20.50%,36.00%,26.20%,,48.50%,51.50%,,88.10%,6.00%,3.80%,N,N,1.20%,0.90%,7.70%,82.00%,,1.50%,3.70%,25.70%,18.50%,7.70%,27.00%,16.00%,94.90%,42.90%,,(X),6.20%,93.80%,,(X)
"Congressional District 4 (116th Congress), New Jersey!!Percent!!Margin of Error",(X),,±0.9,±0.8,±0.9,±0.9,,±0.6,±0.6,,±0.9,±0.7,±0.5,N,N,±0.4,±0.3,±0.8,±1.1,,±0.3,±0.4,±1.2,±0.9,±0.7,±0.9,±1.0,±0.6,±1.3,,(X),±0.6,±0.6,,(X)
"Congressional District 5 (116th Congress), New Jersey!!Total!!Estimate","538,231",,"91,365","107,821","205,128","133,917",,"260,148","278,083",,"444,134","29,272","45,058",N,N,"9,213","10,042","64,942","393,005",,"8,266","22,921","116,295","97,554","36,230","162,474","94,491","507,044","256,965",,"528,862","25,523","503,339",,"110,821"
"Congressional District 5 (116th Congress), New Jersey!!Total!!Margin of Error","±11,573",,"±4,264","±4,228","±6,035","±4,459",,"±6,801","±6,720",,"±10,297","±3,401","±4,451",N,N,"±2,605","±2,405","±5,711","±8,828",,"±1,463","±3,086","±5,429","±6,528","±3,294","±6,809","±5,661","±11,244","±8,782",,"±11,558","±4,127","±11,816",,"±3,315"
"Congressional District 5 (116th Congress), New Jersey!!Percent!!Estimate",(X),,17.00%,20.00%,38.10%,24.90%,,48.30%,51.70%,,82.50%,5.40%,8.40%,N,N,1.70%,1.90%,12.10%,73.00%,,1.50%,4.30%,21.60%,18.10%,6.70%,30.20%,17.60%,94.20%,47.70%,,(X),4.80%,95.20%,,(X)
"Congressional District 5 (116th Congress), New Jersey!!Percent!!Margin of Error",(X),,±0.6,±0.6,±0.8,±0.7,,±0.7,±0.7,,±1.1,±0.6,±0.8,N,N,±0.5,±0.4,±1.0,±1.2,,±0.3,±0.6,±0.9,±1.1,±0.6,±1.1,±1.0,±0.6,±1.4,,(X),±0.8,±0.8,,(X)
"Congressional District 6 (116th Congress), New Jersey!!Total!!Estimate","502,050",,"114,122","115,715","175,740","96,473",,"242,878","259,172",,"343,694","56,596","68,333",N,N,"21,757","10,854","97,142","275,523",,"17,938","30,693","128,499","104,919","34,985","119,113","65,903","453,419","185,016",,"482,040","36,683","445,357",,"91,864"
"Congressional District 6 (116th Congress), New Jersey!!Total!!Margin of Error","±9,155",,"±4,074","±4,405","±6,001","±4,457",,"±5,669","±6,041",,"±8,174","±4,708","±4,624",N,N,"±4,457","±2,261","±4,919","±6,117",,"±2,457","±3,269","±6,756","±5,317","±3,590","±5,950","±3,879","±8,904","±7,053",,"±9,341","±4,347","±10,365",,"±3,561"
"Congressional District 6 (116th Congress), New Jersey!!Percent!!Estimate",(X),,22.70%,23.00%,35.00%,19.20%,,48.40%,51.60%,,68.50%,11.30%,13.60%,N,N,4.30%,2.20%,19.30%,54.90%,,3.60%,6.10%,25.60%,20.90%,7.00%,23.70%,13.10%,90.30%,36.90%,,(X),7.60%,92.40%,,(X)
"Congressional District 6 (116th Congress), New Jersey!!Percent!!Margin of Error",(X),,±0.6,±0.8,±1.0,±0.9,,±0.7,±0.7,,±1.3,±0.9,±0.9,N,N,±0.9,±0.5,±0.9,±1.1,,±0.5,±0.6,±1.3,±0.9,±0.7,±1.1,±0.8,±0.8,±1.4,,(X),±0.9,±0.9,,(X)
"Congressional District 7 (116th Congress), New Jersey!!Total!!Estimate","520,886",,"88,500","105,444","207,306","119,636",,"251,165","269,721",,"418,671","24,738","47,192",N,N,"22,029","7,206","52,269","389,377",,"8,754","15,685","107,908","81,430","31,939","165,577","109,593","496,447","275,170",,"514,515","24,235","490,280",,"117,373"
"Congressional District 7 (116th Congress), New Jersey!!Total!!Margin of Error","±9,957",,"±5,426","±4,892","±5,558","±4,702",,"±5,813","±5,691",,"±9,379","±3,878","±3,519",N,N,"±4,799","±1,607","±4,694","±8,357",,"±2,032","±2,206","±7,086","±5,251","±2,990","±6,699","±4,843","±9,544","±8,568",,"±9,902","±3,861","±9,875",,"±3,501"
"Congressional District 7 (116th Congress), New Jersey!!Percent!!Estimate",(X),,17.00%,20.20%,39.80%,23.00%,,48.20%,51.80%,,80.40%,4.70%,9.10%,N,N,4.20%,1.40%,10.00%,74.80%,,1.70%,3.00%,20.70%,15.60%,6.10%,31.80%,21.00%,95.30%,52.80%,,(X),4.70%,95.30%,,(X)
"Congressional District 7 (116th Congress), New Jersey!!Percent!!Margin of Error",(X),,±0.9,±0.9,±0.8,±0.8,,±0.6,±0.6,,±1.1,±0.7,±0.7,N,N,±0.9,±0.3,±0.8,±1.1,,±0.4,±0.4,±1.2,±1.0,±0.6,±1.1,±0.9,±0.6,±1.4,,(X),±0.7,±0.7,,(X)
"Congressional District 8 (116th Congress), New Jersey!!Total!!Estimate","420,965",,"96,551","121,894","129,841","72,679",,"204,109","216,856",,"257,677","54,861","35,161",N,N,"55,715","15,540","202,853","134,703",,"32,230","25,233","118,163","75,833","20,450","98,344","50,712","363,502","149,056",,"415,350","49,816","365,534",,"69,792"
"Congressional District 8 (116th Congress), New Jersey!!Total!!Margin of Error","±11,827",,"±5,500","±5,883","±5,955","±3,531",,"±7,349","±7,109",,"±11,196","±6,303","±3,439",N,N,"±6,804","±3,426","±7,703","±5,613",,"±3,213","±2,842","±7,248","±5,772","±2,522","±5,538","±3,576","±10,998","±6,219",,"±11,884","±4,122","±12,060",,"±3,922"
