Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
2903_!!Percent!!Estimate,(X),,17.90%,25.50%,34.60%,22.00%,,49.80%,50.20%,,93.60%,3.50%,0.90%,N,N,0.30%,N,1.90%,92.20%,,2.20%,6.50%,31.10%,23.50%,10.00%,18.00%,8.70%,91.30%,26.70%,,(X),7.30%,92.70%,,(X)
2903_!!Percent!!Margin of Error,(X),,±0.4,±0.6,±0.6,±0.5,,±0.3,±0.3,,±0.5,±0.4,±0.2,N,N,±0.1,N,±0.3,±0.5,,±0.4,±0.6,±1.0,±0.9,±0.8,±0.9,±0.7,±0.8,±1.1,,(X),±0.6,±0.6,,(X)
2904_!!Total!!Estimate,590595,,142332,134719,183266,130278,,290543,300052,,537849,26548,6435,N,N,2081,N,17367,524450,,18168,38378,203779,152789,44561,82110,50810,534049,132920,,558657,75635,483022,,52941
2904_!!Total!!Margin of Error,±3858,,±2433,±3048,±3224,±1845,,±2780,±2805,,±3486,±2186,±1486,N,N,±802,N,±1178,±3159,,±2228,±3587,±6587,±6862,±3545,±4443,±3950,±5291,±5591,,±4529,±5508,±7389,,±1739
2904_!!Percent!!Estimate,(X),,24.10%,22.80%,31.00%,22.10%,,49.20%,50.80%,,91.10%,4.50%,1.10%,N,N,0.40%,N,2.90%,88.80%,,3.10%,6.50%,34.50%,25.90%,7.50%,13.90%,8.60%,90.40%,22.50%,,(X),13.50%,86.50%,,(X)
2904_!!Percent!!Margin of Error,(X),,±0.4,±0.5,±0.5,±0.3,,±0.3,±0.3,,±0.4,±0.4,±0.2,N,N,±0.1,N,±0.2,±0.4,,±0.4,±0.6,±1.1,±1.2,±0.6,±0.7,±0.7,±0.7,±0.9,,(X),±1.0,±1.0,,(X)
2905_!!Total!!Estimate,579431,,125238,145570,187217,121406,,277850,301581,,422050,117957,7563,N,N,12838,N,33495,402433,,11653,37091,190039,136960,42054,106501,55133,530687,161634,,569691,66500,503191,,55859
2905_!!Total!!Margin of Error,±6225,,±2855,±3103,±3437,±2336,,±4075,±3676,,±5486,±3156,±1128,N,N,±2626,N,±2804,±4915,,±2151,±3850,±8133,±6247,±3877,±5377,±3607,±7377,±5749,,±6359,±5191,±6978,,±1570
2905_!!Percent!!Estimate,(X),,21.60%,25.10%,32.30%,21.00%,,48.00%,52.00%,,72.80%,20.40%,1.30%,N,N,2.20%,N,5.80%,69.50%,,2.00%,6.40%,32.80%,23.60%,7.30%,18.40%,9.50%,91.60%,27.90%,,(X),11.70%,88.30%,,(X)
2905_!!Percent!!Margin of Error,(X),,±0.4,±0.5,±0.5,±0.4,,±0.4,±0.4,,±0.5,±0.6,±0.2,N,N,±0.4,N,±0.5,±0.6,,±0.4,±0.7,±1.3,±1.1,±0.7,±0.9,±0.7,±0.8,±1.0,,(X),±0.9,±0.9,,(X)
2906_!!Total!!Estimate,586958,,113140,143774,198977,131067,,285831,301127,,536541,25841,6607,N,N,N,N,17230,525096,,15171,33691,206464,129947,45756,103070,52859,538096,155929,,563054,56798,506256,,62294
2906_!!Total!!Margin of Error,±5534,,±2749,±3596,±3465,±2335,,±3943,±3617,,±5379,±2557,±1406,N,N,N,N,±2013,±4958,,±1962,±2477,±5925,±5043,±3064,±5639,±3172,±6603,±6893,,±6207,±4398,±7639,,±1915
2906_!!Percent!!Estimate,(X),,19.30%,24.50%,33.90%,22.30%,,48.70%,51.30%,,91.40%,4.40%,1.10%,N,N,N,N,2.90%,89.50%,,2.60%,5.70%,35.20%,22.10%,7.80%,17.60%,9.00%,91.70%,26.60%,,(X),10.10%,89.90%,,(X)
2906_!!Percent!!Margin of Error,(X),,±0.4,±0.6,±0.5,±0.4,,±0.4,±0.4,,±0.5,±0.4,±0.2,N,N,N,N,±0.3,±0.5,,±0.3,±0.4,±0.9,±0.9,±0.5,±0.9,±0.5,±0.6,±1.1,,(X),±0.8,±0.8,,(X)
2907_!!Total!!Estimate,594430,,128597,138151,187966,139716,,287120,307310,,555129,N,6569,N,N,4541,N,17723,543731,,17166,45537,193609,156054,44411,93339,44314,531727,137653,,577439,83525,493914,,48495
2907_!!Total!!Margin of Error,±3177,,±1820,±2577,±2447,±1714,,±2408,±2020,,±2681,N,±1257,N,N,±1410,N,±1487,±2263,,±2245,±3942,±7136,±7485,±4250,±5483,±3413,±5431,±6834,,±3957,±5471,±6222,,±2127
2907_!!Percent!!Estimate,(X),,21.60%,23.20%,31.60%,23.50%,,48.30%,51.70%,,93.40%,N,1.10%,N,N,0.80%,N,3.00%,91.50%,,2.90%,7.70%,32.60%,26.30%,7.50%,15.70%,7.50%,89.50%,23.20%,,(X),14.50%,85.50%,,(X)
2907_!!Percent!!Margin of Error,(X),,±0.3,±0.4,±0.4,±0.3,,±0.3,±0.3,,±0.4,N,±0.2,N,N,±0.2,N,±0.2,±0.4,,±0.4,±0.7,±1.2,±1.3,±0.7,±0.9,±0.6,±0.8,±1.2,,(X),±0.9,±0.9,,(X)
2908_!!Total!!Estimate,566910,,105003,129238,193212,139457,,280110,286800,,527704,N,3577,N,N,N,N,7360,521598,,22950,58146,223938,125486,44507,56978,34905,485814,91883,,544299,87590,456709,,45755
2908_!!Total!!Margin of Error,±3988,,±2414,±2645,±2915,±1879,,±2635,±2538,,±3720,N,±1046,N,N,N,N,±1399,±3598,,±2370,±4301,±5917,±5661,±3861,±3644,±3433,±6193,±5111,,±4508,±6078,±6662,,±1235
2908_!!Percent!!Estimate,(X),,18.50%,22.80%,34.10%,24.60%,,49.40%,50.60%,,93.10%,N,0.60%,N,N,N,N,1.30%,92.00%,,4.00%,10.30%,39.50%,22.10%,7.90%,10.10%,6.20%,85.70%,16.20%,,(X),16.10%,83.90%,,(X)
2908_!!Percent!!Margin of Error,(X),,±0.4,±0.4,±0.5,±0.4,,±0.3,±0.3,,±0.3,N,±0.2,N,N,N,N,±0.2,±0.3,,±0.4,±0.8,±1.0,±1.0,±0.7,±0.6,±0.6,±0.8,±0.9,,(X),±1.1,±1.1,,(X)
30(at Large)_!!Total!!Estimate,831760,,164858,194179,266138,206585,,415318,416442,,751393,N,5130,N,N,N,N,26286,734206,,13111,41911,244930,203813,72970,178221,76804,776738,255025,,812042,96565,715477,,57299
30(at Large)_!!Total!!Margin of Error,±2687,,±2291,±2332,±2400,±1648,,±2413,±2020,,±2616,N,±1055,N,N,N,N,±1809,±1521,,±1769,±3609,±8413,±6799,±3707,±5609,±4469,±4251,±7263,,±2677,±4966,±5268,,±1250
30(at Large)_!!Percent!!Estimate,(X),,19.80%,23.30%,32.00%,24.80%,,49.90%,50.10%,,90.30%,N,0.60%,N,N,N,N,3.20%,88.30%,,1.60%,5.00%,29.40%,24.50%,8.80%,21.40%,9.20%,93.40%,30.70%,,(X),11.90%,88.10%,,(X)
30(at Large)_!!Percent!!Margin of Error,(X),,±0.2,±0.3,±0.3,±0.2,,±0.2,±0.2,,±0.3,N,±0.1,N,N,N,N,±0.2,±0.2,,±0.2,±0.4,±1.0,±0.8,±0.4,±0.7,±0.5,±0.5,±0.9,,(X),±0.6,±0.6,,(X)
3101_!!Total!!Estimate,475365,,114467,113255,147308,100335,,235513,239852,,433715,12359,8902,N,N,6199,N,29073,413103,,9481,20763,118247,123577,58099,98765,46433,445121,145198,,458456,40982,417474,,64986
3101_!!Total!!Margin of Error,±3849,,±2526,±2698,±2704,±1842,,±2708,±2140,,±3496,±1384,±1371,N,N,±1611,N,±1717,±3139,,±1530,±2464,±5366,±4327,±3346,±4426,±3325,±4625,±5281,,±4438,±3948,±6058,,±1544
3101_!!Percent!!Estimate,(X),,24.10%,23.80%,31.00%,21.10%,,49.50%,50.50%,,91.20%,2.60%,1.90%,N,N,1.30%,N,6.10%,86.90%,,2.00%,4.40%,24.90%,26.00%,12.20%,20.80%,9.80%,93.60%,30.50%,,(X),8.90%,91.10%,,(X)
3101_!!Percent!!Margin of Error,(X),,±0.5,±0.5,±0.5,±0.4,,±0.3,±0.3,,±0.5,±0.3,±0.3,N,N,±0.3,N,±0.3,±0.4,,±0.3,±0.5,±1.1,±0.9,±0.7,±0.9,±0.7,±0.6,±1.1,,(X),±0.9,±0.9,,(X)
3102_!!Total!!Estimate,472694,,102935,131193,149293,89273,,229615,243079,,401731,40421,11719,N,N,5040,N,30432,378947,,8333,16859,107683,112624,36851,126393,63951,447502,190344,,462130,38181,423949,,73370
3102_!!Total!!Margin of Error,±4090,,±2141,±2660,±2493,±1488,,±2769,±2663,,±3299,±1942,±1550,N,N,±1251,N,±2358,±2416,,±1684,±1882,±4178,±4410,±2692,±5024,±3748,±4463,±5969,,±4651,±3290,±5582,,±2463
3102_!!Percent!!Estimate,(X),,21.80%,27.80%,31.60%,18.90%,,48.60%,51.40%,,85.00%,8.60%,2.50%,N,N,1.10%,N,6.40%,80.20%,,1.80%,3.60%,22.80%,23.80%,7.80%,26.70%,13.50%,94.70%,40.30%,,(X),8.30%,91.70%,,(X)
3102_!!Percent!!Margin of Error,(X),,±0.4,±0.5,±0.4,±0.3,,±0.4,±0.4,,±0.6,±0.4,±0.3,N,N,±0.3,N,±0.5,±0.6,,±0.4,±0.4,±0.9,±0.9,±0.6,±1.0,±0.8,±0.5,±1.2,,(X),±0.7,±0.7,,(X)
3103_!!Total!!Estimate,440891,,81486,95861,143316,120228,,218411,222480,,412277,4361,2250,N,N,12039,N,33126,392866,,11731,24000,138312,111967,56017,69030,29834,405160,98864,,425451,45050,380401,,56038
3103_!!Total!!Margin of Error,±3021,,±2417,±2359,±2588,±1591,,±2425,±2007,,±2748,±916,±692,N,N,±1765,N,±2257,±2034,,±1997,±2007,±4316,±3777,±3096,±3075,±2077,±3427,±3679,,±2879,±4091,±4824,,±1220
3103_!!Percent!!Estimate,(X),,18.50%,21.70%,32.50%,27.30%,,49.50%,50.50%,,93.50%,1.00%,0.50%,N,N,2.70%,N,7.50%,89.10%,,2.70%,5.40%,31.40%,25.40%,12.70%,15.70%,6.80%,91.90%,22.40%,,(X),10.60%,89.40%,,(X)
3103_!!Percent!!Margin of Error,(X),,±0.5,±0.5,±0.5,±0.4,,±0.4,±0.4,,±0.5,±0.2,±0.2,N,N,±0.4,N,±0.5,±0.5,,±0.4,±0.5,±0.9,±0.9,±0.7,±0.7,±0.5,±0.6,±0.8,,(X),±1.0,±1.0,,(X)
3201_!!Total!!Estimate,423658,,98841,99642,132901,92274,,214462,209196,,249142,54823,39604,4770,N,53064,18257,135596,172695,,21407,49468,143224,105820,33446,48528,21765,352783,70293,,416811,68473,348338,,44472
3201_!!Total!!Margin of Error,±10628,,±6392,±5404,±6012,±3868,,±7807,±6116,,±7898,±5155,±4148,±1261,N,±6157,±2672,±6907,±6806,,±2513,±4149,±7728,±5592,±3581,±4136,±2331,±10842,±4768,,±10388,±6266,±10942,,±2380
3201_!!Percent!!Estimate,(X),,23.30%,23.50%,31.40%,21.80%,,50.60%,49.40%,,58.80%,12.90%,9.30%,1.10%,N,12.50%,4.30%,32.00%,40.80%,,5.10%,11.70%,33.80%,25.00%,7.90%,11.50%,5.10%,83.30%,16.60%,,(X),16.40%,83.60%,,(X)
3201_!!Percent!!Margin of Error,(X),,±1.3,±1.2,±1.1,±0.9,,±1.1,±1.1,,±1.6,±1.1,±1.0,±0.3,N,±1.4,±0.6,±1.4,±1.4,,±0.6,±1.0,±1.6,±1.2,±0.8,±0.9,±0.5,±1.1,±1.0,,(X),±1.5,±1.5,,(X)
3202_!!Total!!Estimate,536143,,109196,122549,176825,127573,,270771,265372,,446339,11224,17671,N,N,32198,14524,86675,396637,,12468,34863,143442,152375,53980,88921,50094,488812,139015,,526859,53952,472907,,70946
3202_!!Total!!Margin of Error,±4689,,±2139,±3038,±3206,±1760,,±3544,±2409,,±5679,±1368,±1694,N,N,±3900,±2068,±3368,±2591,,±2066,±3222,±5984,±5619,±3526,±4569,±3584,±4753,±5874,,±4886,±5068,±6279,,±1723
3202_!!Percent!!Estimate,(X),,20.40%,22.90%,33.00%,23.80%,,50.50%,49.50%,,83.20%,2.10%,3.30%,N,N,6.00%,2.70%,16.20%,74.00%,,2.30%,6.50%,26.80%,28.40%,10.10%,16.60%,9.30%,91.20%,25.90%,,(X),10.20%,89.80%,,(X)
3202_!!Percent!!Margin of Error,(X),,±0.4,±0.5,±0.5,±0.3,,±0.4,±0.4,,±0.8,±0.3,±0.3,N,N,±0.7,±0.4,±0.5,±0.5,,±0.4,±0.6,±1.1,±1.0,±0.7,±0.9,±0.7,±0.8,±1.1,,(X),±0.9,±0.9,,(X)
3203_!!Total!!Estimate,630813,,115660,171193,207686,136274,,309739,321074,,431257,54413,81665,N,N,28634,26570,88359,376461,,7069,27224,166392,166131,57944,134255,71798,596520,206053,,628919,46232,582687,,79651
3203_!!Total!!Margin of Error,±10939,,±5570,±6490,±6207,±4542,,±7259,±6543,,±9941,±5486,±4900,N,N,±4930,±3863,±7488,±8562,,±1705,±3237,±8096,±8296,±4518,±5381,±4138,±10986,±6718,,±11113,±5109,±12040,,±1905
3203_!!Percent!!Estimate,(X),,18.30%,27.10%,32.90%,21.60%,,49.10%,50.90%,,68.40%,8.60%,12.90%,N,N,4.50%,4.20%,14.00%,59.70%,,1.10%,4.30%,26.40%,26.30%,9.20%,21.30%,11.40%,94.60%,32.70%,,(X),7.40%,92.60%,,(X)
3203_!!Percent!!Margin of Error,(X),,±0.8,±0.9,±0.8,±0.7,,±0.7,±0.7,,±1.2,±0.8,±0.8,N,N,±0.8,±0.6,±1.1,±1.1,,±0.3,±0.5,±1.1,±1.2,±0.7,±0.9,±0.6,±0.6,±1.1,,(X),±0.8,±0.8,,(X)
3204_!!Total!!Estimate,521318,,107942,130578,165656,117142,,260551,260767,,345428,89005,28369,N,N,27250,19640,117513,265103,,15434,42359,169945,144334,44186,69493,35567,463525,105060,,510278,50575,459703,,63355
3204_!!Total!!Margin of Error,±10905,,±6058,±5628,±6249,±4344,,±7428,±5987,,±10154,±5429,±3824,N,N,±4582,±3335,±6996,±7650,,±2527,±4088,±7786,±6830,±3363,±4521,±2910,±9858,±5184,,±10905,±4461,±10766,,±2167
3204_!!Percent!!Estimate,(X),,20.70%,25.00%,31.80%,22.50%,,50.00%,50.00%,,66.30%,17.10%,5.40%,N,N,5.20%,3.80%,22.50%,50.90%,,3.00%,8.10%,32.60%,27.70%,8.50%,13.30%,6.80%,88.90%,20.20%,,(X),9.90%,90.10%,,(X)
3204_!!Percent!!Margin of Error,(X),,±1.0,±1.0,±1.0,±0.8,,±0.8,±0.8,,±1.4,±1.0,±0.7,N,N,±0.9,±0.6,±1.2,±1.2,,±0.5,±0.7,±1.3,±1.2,±0.6,±0.9,±0.5,±0.8,±1.0,,(X),±0.8,±0.8,,(X)
3301_!!Total!!Estimate,540722,,104359,117138,195221,124004,,262255,278467,,513710,6613,9238,N,N,3362,N,14155,503746,,7268,27717,152951,111355,50798,121163,69470,505737,190633,,523926,38351,485575,,80356
3301_!!Total!!Margin of Error,±5537,,±3388,±3437,±4073,±2978,,±3832,±3575,,±5478,±1426,±1601,N,N,±1652,N,±2001,±5956,,±1379,±3045,±6869,±5863,±3825,±4293,±4259,±6569,±5477,,±5713,±3476,±6239,,±2581
3301_!!Percent!!Estimate,(X),,19.30%,21.70%,36.10%,22.90%,,48.50%,51.50%,,95.00%,1.20%,1.70%,N,N,0.60%,N,2.60%,93.20%,,1.30%,5.10%,28.30%,20.60%,9.40%,22.40%,12.80%,93.50%,35.30%,,(X),7.30%,92.70%,,(X)
3301_!!Percent!!Margin of Error,(X),,±0.5,±0.6,±0.7,±0.5,,±0.5,±0.5,,±0.5,±0.3,±0.3,N,N,±0.3,N,±0.4,±0.5,,±0.3,±0.6,±1.2,±1.0,±0.7,±0.8,±0.8,±0.6,±1.0,,(X),±0.7,±0.7,,(X)
3302_!!Total!!Estimate,529493,,99313,112524,192262,125394,,263028,266465,,502210,6689,8412,N,N,2161,8895,15521,490394,,8661,30001,155022,106073,51557,110341,67838,490831,178179,,510693,35582,475111,,76500
3302_!!Total!!Margin of Error,±5929,,±3328,±3483,±4304,±3015,,±4107,±3550,,±5555,±1144,±1599,N,N,±1001,±1457,±2338,±5899,,±1646,±3089,±6465,±4772,±4139,±5176,±4267,±7087,±6714,,±6074,±4097,±7417,,±2213
3302_!!Percent!!Estimate,(X),,18.80%,21.30%,36.30%,23.70%,,49.70%,50.30%,,94.80%,1.30%,1.60%,N,N,0.40%,1.70%,2.90%,92.60%,,1.60%,5.70%,29.30%,20.00%,9.70%,20.80%,12.80%,92.70%,33.70%,,(X),7.00%,93.00%,,(X)
3302_!!Percent!!Margin of Error,(X),,±0.6,±0.6,±0.7,±0.5,,±0.5,±0.5,,±0.4,±0.2,±0.3,N,N,±0.2,±0.3,±0.4,±0.6,,±0.3,±0.6,±1.2,±0.9,±0.8,±0.9,±0.8,±0.7,±1.2,,(X),±0.8,±0.8,,(X)
3401_!!Total!!Estimate,539844,,105368,131773,186510,116193,,255478,284366,,390906,90637,22097,N,N,24159,11053,54253,365242,,14097,30813,168145,112295,43138,113715,57641,494934,171356,,531029,44120,486909,,75479
3401_!!Total!!Margin of Error,±6377,,±3459,±3581,±2569,±2400,,±3650,±3826,,±5718,±4628,±1779,N,N,±3843,±2644,±3344,±4329,,±2270,±2930,±5670,±6262,±3386,±5108,±3292,±6508,±6173,,±6127,±4830,±6678,,±2454
3401_!!Percent!!Estimate,(X),,19.50%,24.40%,34.50%,21.50%,,47.30%,52.70%,,72.40%,16.80%,4.10%,N,N,4.50%,2.00%,10.00%,67.70%,,2.60%,5.70%,31.10%,20.80%,8.00%,21.10%,10.70%,91.70%,31.70%,,(X),8.30%,91.70%,,(X)
3401_!!Percent!!Margin of Error,(X),,±0.5,±0.5,±0.5,±0.4,,±0.4,±0.4,,±0.8,±0.8,±0.3,N,N,±0.7,±0.5,±0.6,±0.7,,±0.4,±0.5,±1.0,±1.1,±0.6,±1.0,±0.6,±0.6,±1.2,,(X),±0.9,±0.9,,(X)
3402_!!Total!!Estimate,528293,,93290,109257,188354,137392,,255315,272978,,413250,65781,16487,N,N,19282,10897,59218,378777,,14533,37094,182958,110637,41632,92364,49075,476666,141439,,510820,45587,465233,,70094
3402_!!Total!!Margin of Error,±6503,,±3183,±3455,±4283,±2849,,±3999,±4009,,±6459,±4072,±1548,N,N,±3287,±2737,±3221,±4755,,±2028,±3839,±6178,±5441,±3612,±5045,±3227,±6997,±5530,,±6625,±4685,±7568,,±2385
3402_!!Percent!!Estimate,(X),,17.70%,20.70%,35.70%,26.00%,,48.30%,51.70%,,78.20%,12.50%,3.10%,N,N,3.60%,2.10%,11.20%,71.70%,,2.80%,7.00%,34.60%,20.90%,7.90%,17.50%,9.30%,90.20%,26.80%,,(X),8.90%,91.10%,,(X)
3402_!!Percent!!Margin of Error,(X),,±0.5,±0.6,±0.6,±0.6,,±0.4,±0.4,,±0.8,±0.7,±0.3,N,N,±0.6,±0.5,±0.5,±0.7,,±0.4,±0.7,±1.1,±1.0,±0.7,±0.9,±0.6,±0.8,±1.0,,(X),±0.9,±0.9,,(X)
3403_!!Total!!Estimate,568535,,99226,120684,201270,147355,,271939,296596,,465992,64559,17211,N,N,6784,12838,39769,437410,,8921,25120,178875,112731,47218,130084,65586,534494,195670,,556907,28790,528117,,86247
3403_!!Total!!Margin of Error,±5608,,±3397,±3492,±2973,±3494,,±3567,±3644,,±6092,±3434,±1762,N,N,±1636,±2434,±2948,±5718,,±1780,±2492,±6925,±5706,±3467,±5868,±4144,±5808,±6805,,±5797,±3635,±6454,,±1865
3403_!!Percent!!Estimate,(X),,17.50%,21.20%,35.40%,25.90%,,47.80%,52.20%,,82.00%,11.40%,3.00%,N,N,1.20%,2.30%,7.00%,76.90%,,1.60%,4.40%,31.50%,19.80%,8.30%,22.90%,11.50%,94.00%,34.40%,,(X),5.20%,94.80%,,(X)
3403_!!Percent!!Margin of Error,(X),,±0.5,±0.6,±0.5,±0.6,,±0.4,±0.4,,±0.6,±0.6,±0.3,N,N,±0.3,±0.4,±0.5,±0.6,,±0.3,±0.4,±1.1,±1.0,±0.6,±1.0,±0.7,±0.5,±1.2,,(X),±0.6,±0.6,,(X)
3404_!!Total!!Estimate,536357,,92779,109791,193099,140688,,260121,276236,,472353,31953,20332,N,N,6418,4803,41174,439966,,7804,19625,138107,99277,41260,144636,85648,508928,230284,,531077,33081,497996,,93632
3404_!!Total!!Margin of Error,±7494,,±5437,±3757,±5884,±4700,,±4761,±4861,,±7700,±3706,±2566,N,N,±2179,±1436,±4414,±7277,,±1762,±2371,±6282,±5287,±3894,±5076,±5227,±7236,±7145,,±7702,±3265,±7445,,±4451
3404_!!Percent!!Estimate,(X),,17.30%,20.50%,36.00%,26.20%,,48.50%,51.50%,,88.10%,6.00%,3.80%,N,N,1.20%,0.90%,7.70%,82.00%,,1.50%,3.70%,25.70%,18.50%,7.70%,27.00%,16.00%,94.90%,42.90%,,(X),6.20%,93.80%,,(X)
3404_!!Percent!!Margin of Error,(X),,±0.9,±0.8,±0.9,±0.9,,±0.6,±0.6,,±0.9,±0.7,±0.5,N,N,±0.4,±0.3,±0.8,±1.1,,±0.3,±0.4,±1.2,±0.9,±0.7,±0.9,±1.0,±0.6,±1.3,,(X),±0.6,±0.6,,(X)
3405_!!Total!!Estimate,538231,,91365,107821,205128,133917,,260148,278083,,444134,29272,45058,N,N,9213,10042,64942,393005,,8266,22921,116295,97554,36230,162474,94491,507044,256965,,528862,25523,503339,,110821
3405_!!Total!!Margin of Error,±11573,,±4264,±4228,±6035,±4459,,±6801,±6720,,±10297,±3401,±4451,N,N,±2605,±2405,±5711,±8828,,±1463,±3086,±5429,±6528,±3294,±6809,±5661,±11244,±8782,,±11558,±4127,±11816,,±3315
3405_!!Percent!!Estimate,(X),,17.00%,20.00%,38.10%,24.90%,,48.30%,51.70%,,82.50%,5.40%,8.40%,N,N,1.70%,1.90%,12.10%,73.00%,,1.50%,4.30%,21.60%,18.10%,6.70%,30.20%,17.60%,94.20%,47.70%,,(X),4.80%,95.20%,,(X)
3405_!!Percent!!Margin of Error,(X),,±0.6,±0.6,±0.8,±0.7,,±0.7,±0.7,,±1.1,±0.6,±0.8,N,N,±0.5,±0.4,±1.0,±1.2,,±0.3,±0.6,±0.9,±1.1,±0.6,±1.1,±1.0,±0.6,±1.4,,(X),±0.8,±0.8,,(X)
3406_!!Total!!Estimate,502050,,114122,115715,175740,96473,,242878,259172,,343694,56596,68333,N,N,21757,10854,97142,275523,,17938,30693,128499,104919,34985,119113,65903,453419,185016,,482040,36683,445357,,91864
3406_!!Total!!Margin of Error,±9155,,±4074,±4405,±6001,±4457,,±5669,±6041,,±8174,±4708,±4624,N,N,±4457,±2261,±4919,±6117,,±2457,±3269,±6756,±5317,±3590,±5950,±3879,±8904,±7053,,±9341,±4347,±10365,,±3561
3406_!!Percent!!Estimate,(X),,22.70%,23.00%,35.00%,19.20%,,48.40%,51.60%,,68.50%,11.30%,13.60%,N,N,4.30%,2.20%,19.30%,54.90%,,3.60%,6.10%,25.60%,20.90%,7.00%,23.70%,13.10%,90.30%,36.90%,,(X),7.60%,92.40%,,(X)
3406_!!Percent!!Margin of Error,(X),,±0.6,±0.8,±1.0,±0.9,,±0.7,±0.7,,±1.3,±0.9,±0.9,N,N,±0.9,±0.5,±0.9,±1.1,,±0.5,±0.6,±1.3,±0.9,±0.7,±1.1,±0.8,±0.8,±1.4,,(X),±0.9,±0.9,,(X)
3407_!!Total!!Estimate,520886,,88500,105444,207306,119636,,251165,269721,,418671,24738,47192,N,N,22029,7206,52269,389377,,8754,15685,107908,81430,31939,165577,109593,496447,275170,,514515,24235,490280,,117373
3407_!!Total!!Margin of Error,±9957,,±5426,±4892,±5558,±4702,,±5813,±5691,,±9379,±3878,±3519,N,N,±4799,±1607,±4694,±8357,,±2032,±2206,±7086,±5251,±2990,±6699,±4843,±9544,±8568,,±9902,±3861,±9875,,±3501
3407_!!Percent!!Estimate,(X),,17.00%,20.20%,39.80%,23.00%,,48.20%,51.80%,,80.40%,4.70%,9.10%,N,N,4.20%,1.40%,10.00%,74.80%,,1.70%,3.00%,20.70%,15.60%,6.10%,31.80%,21.00%,95.30%,52.80%,,(X),4.70%,95.30%,,(X)
3407_!!Percent!!Margin of Error,(X),,±0.9,±0.9,±0.8,±0.8,,±0.6,±0.6,,±1.1,±0.7,±0.7,N,N,±0.9,±0.3,±0.8,±1.1,,±0.4,±0.4,±1.2,±1.0,±0.6,±1.1,±0.9,±0.6,±1.4,,(X),±0.7,±0.7,,(X)
3408_!!Total!!Estimate,420965,,96551,121894,129841,72679,,204109,216856,,257677,54861,35161,N,N,55715,15540,202853,134703,,32230,25233,118163,75833,20450,98344,50712,363502,149056,,415350,49816,365534,,69792
3408_!!Total!!Margin of Error,±11827,,±5500,±5883,±5955,±3531,,±7349,±7109,,±11196,±6303,±3439,N,N,±6804,±3426,±7703,±5613,,±3213,±2842,±7248,±5772,±2522,±5538,±3576,±10998,±6219,,±11884,±4122,±12060,,±3922
3408_!!Percent!!Estimate,(X),,22.90%,29.00%,30.80%,17.30%,,48.50%,51.50%,,61.20%,13.00%,8.40%,N,N,13.20%,3.70%,48.20%,32.00%,,7.70%,6.00%,28.10%,18.00%,4.90%,23.40%,12.00%,86.30%,35.40%,,(X),12.00%,88.00%,,(X)
3408_!!Percent!!Margin of Error,(X),,±1.0,±1.2,±1.1,±0.8,,±1.0,±1.0,,±2.1,±1.4,±0.8,N,N,±1.6,±0.8,±1.3,±1.1,,±0.7,±0.6,±1.4,±1.3,±0.6,±1.2,±0.9,±1.0,±1.3,,(X),±1.0,±1.0,,(X)
3409_!!Total!!Estimate,476041,,98807,111301,161245,104688,,227596,248445,,319424,48552,57098,N,N,36525,12774,151591,215107,,23336,23740,145869,88419,27681,109467,57529,428965,166996,,473701,43260,430441,,84294
3409_!!Total!!Margin of Error,±11347,,±4982,±5438,±6178,±4664,,±6368,±7767,,±11402,±3431,±5355,N,N,±3734,±3192,±7155,±8705,,±3300,±2807,±6931,±5764,±2900,±7023,±4394,±11196,±7674,,±11256,±4714,±10655,,±4335
3409_!!Percent!!Estimate,(X),,20.80%,23.40%,33.90%,22.00%,,47.80%,52.20%,,67.10%,10.20%,12.00%,N,N,7.70%,2.70%,31.80%,45.20%,,4.90%,5.00%,30.60%,18.60%,5.80%,23.00%,12.10%,90.10%,35.10%,,(X),9.10%,90.90%,,(X)
3409_!!Percent!!Margin of Error,(X),,±0.9,±1.0,±1.0,±0.9,,±0.9,±0.9,,±1.6,±0.7,±1.1,N,N,±0.8,±0.7,±1.3,±1.4,,±0.7,±0.6,±1.3,±1.0,±0.6,±1.3,±0.9,±0.8,±1.4,,(X),±0.9,±0.9,,(X)
3410_!!Total!!Estimate,506649,,112566,129262,169596,95225,,235246,271403,,169659,267616,25168,N,N,28281,14307,84151,123646,,23187,35586,152082,113871,29413,102988,49522,447876,152510,,489832,61017,428815,,61883
